,Symbol,RalatedParty,EndDate,ISExit,Relationship,RegisterAddress,DirectHoldingRatio,IndirectHoldingRatio,Sub_Symbol,Name,is_foreign,is_subsidiary_listed,ind
872,000019,深圳市深宝工贸有限公司,2022-12-31,0,上市公司的子公司,深圳市,100,,,深粮控股,0,0,商贸批发
873,000019,深圳市深深宝投资有限公司,2022-12-31,0,上市公司的子公司,深圳市,100,,,深粮控股,0,0,投资管理
875,000019,深圳市深粮食品有限公司,2022-12-31,0,上市公司的子公司,深圳市,100,,,深粮控股,0,0,制造业
877,000019,圳品市场运营科技有限公司,2022-12-31,0,上市公司的子公司,深圳市,,51,,深粮控股,0,0,平台建设、推广及运营
878,000019,深粮智能物联股权投资基金(深圳)合伙企业(有限合伙),2022-12-31,0,上市公司的联营企业,深圳市,,49.02,,深粮控股,0,0,股权投资;投资咨询
886,000019,珠海恒兴饲料实业有限公司,2022-12-31,0,上市公司的联营企业,珠海市,,40,,深粮控股,0,0,水产饲料、禽兽饲料
887,000019,麻城景田山茶油有限公司,2022-12-31,0,上市公司的子公司,麻城市,,51,,深粮控股,0,0,食品生产
888,000019,武汉红曲健康生物有限公司,2022-12-31,0,上市公司的子公司,武汉市,,51,,深粮控股,0,0,食品生产
889,000019,湖北佳成生物科技有限公司,2022-12-31,0,上市公司的子公司,武汉市,,51,,深粮控股,0,0,食品生产
892,000020,深圳市华发物业租赁管理有限公司,2022-12-31,0,上市公司的子公司,深圳,60,,,深华发A,0,0,物业管理
893,000020,深圳市华发恒泰有限公司,2022-12-31,0,上市公司的子公司,深圳,100,,,深华发A,0,0,物业管理
894,000020,深圳市华发恒天有限公司,2022-12-31,0,上市公司的子公司,深圳,100,,,深华发A,0,0,物业管理
895,000020,深圳中恒华发物业有限公司,2022-12-31,0,上市公司的子公司,深圳,100,,,深华发A,0,0,物业管理
896,000020,武汉恒发科技有限公司,2022-12-31,0,上市公司的子公司,武汉,100,,,深华发A,0,0,生产销售
897,000021,KaifaTechnology(Philippines)Inc.,,,,,,,,,,,销售
898,000021,桂林博晟科技有限公司,2022-12-31,0,上市公司的联营企业,桂林,48.09,,,深科技,0,0,生产
899,000021,惠州长城开发科技有限公司,2022-12-31,0,上市公司的子公司,惠州,100,,,深科技,0,0,生产
900,000021,深圳开发微电子有限公司,2022-12-31,0,上市公司的子公司,深圳,70,30,,深科技,0,0,生产
901,000021,深圳长城开发贸易有限公司,2022-12-31,0,上市公司的子公司,深圳,100,,,深科技,0,0,贸易
902,000021,苏州长城开发科技有限公司,2022-12-31,0,上市公司的子公司,苏州,75,25,,深科技,0,0,开发、设计、生产大容量磁盘驱动器磁头、电脑硬盘用线路板等电子部件
903,000021,深圳长城开发精密技术有限公司,2022-12-31,0,上市公司的子公司,深圳,100,,,深科技,0,0,从事硬盘盘基片的开发、研制、生产和销售等
911,000021,开发科技(香港)有限公司,2022-12-31,0,上市公司的子公司,香港,100,,,深科技,0,0,商业贸易
918,000021,弘利达(香港)有限公司,2022-12-31,0,上市公司的子公司,香港,100,,,深科技,0,0,贸易
919,000021,重庆深科技有限公司,2022-12-31,0,上市公司的子公司,重庆,100,,,深科技,0,0,生产
920,000021,开发科技(泰国)有限公司,2022-12-31,0,上市公司的子公司,泰国,100,,,深科技,0,0,生产
923,000021,深圳长城开发苏州电子有限公司,2022-12-31,0,上市公司的子公司,苏州,100,,,深科技,0,0,房屋租赁、生产
